location,city,local,parameter,value,unit
FR15039,Isère,2020-12-21T01:00:00+01:00,pm10,45.5,µg/m³
FR15039,Isère,2020-12-21T00:00:00+01:00,pm25,32.8,µg/m³
FR15039,Isère,2020-12-21T00:00:00+01:00,no2,44.2,µg/m³
FR15039,Isère,2020-12-21T00:00:00+01:00,pm10,36.9,µg/m³
FR15039,Isère,2020-12-20T23:00:00+01:00,pm25,31.1,µg/m³
FR15039,Isère,2020-12-20T23:00:00+01:00,no2,49,µg/m³
FR15039,Isère,2020-12-20T23:00:00+01:00,pm10,38.7,µg/m³
FR15039,Isère,2020-12-20T22:00:00+01:00,pm10,35.5,µg/m³
FR15039,Isère,2020-12-20T22:00:00+01:00,no2,59.9,µg/m³
FR15039,Isère,2020-12-20T22:00:00+01:00,pm25,30.8,µg/m³
FR15039,Isère,2020-12-20T21:00:00+01:00,pm25,27.3,µg/m³
FR15039,Isère,2020-12-20T21:00:00+01:00,pm10,36.6,µg/m³
FR15039,Isère,2020-12-20T21:00:00+01:00,no2,60.2,µg/m³
FR15039,Isère,2020-12-20T20:00:00+01:00,pm10,32.4,µg/m³
FR15039,Isère,2020-12-20T20:00:00+01:00,no2,65.1,µg/m³
FR15039,Isère,2020-12-20T20:00:00+01:00,pm25,25.4,µg/m³
FR15039,Isère,2020-12-20T19:00:00+01:00,pm25,19.6,µg/m³
FR15039,Isère,2020-12-20T19:00:00+01:00,no2,57.9,µg/m³
FR15039,Isère,2020-12-20T19:00:00+01:00,pm10,22.4,µg/m³
FR15039,Isère,2020-12-20T18:00:00+01:00,pm10,22.7,µg/m³
FR15039,Isère,2020-12-20T18:00:00+01:00,no2,48.5,µg/m³
FR15039,Isère,2020-12-20T18:00:00+01:00,pm25,17.2,µg/m³
FR15039,Isère,2020-12-20T17:00:00+01:00,pm25,20.3,µg/m³
FR15039,Isère,2020-12-20T17:00:00+01:00,pm10,24.4,µg/m³
FR15039,Isère,2020-12-20T17:00:00+01:00,no2,49.2,µg/m³
FR15039,Isère,2020-12-20T16:00:00+01:00,no2,49.1,µg/m³
FR15039,Isère,2020-12-20T16:00:00+01:00,pm10,29.9,µg/m³
FR15039,Isère,2020-12-20T16:00:00+01:00,pm25,18.9,µg/m³
FR15039,Isère,2020-12-20T15:00:00+01:00,pm25,21.9,µg/m³
FR15039,Isère,2020-12-20T15:00:00+01:00,no2,49.4,µg/m³
FR15039,Isère,2020-12-20T15:00:00+01:00,pm10,35.7,µg/m³
FR15039,Isère,2020-12-20T14:00:00+01:00,pm10,36.4,µg/m³
